prefix,vendor
# Curated subset of the IEEE OUI registry covering common home-network hardware.
# Bundled deliberately: this tool never performs a remote vendor lookup.
# Regenerate as the full registry with: python scripts/update_oui.py
#
# --- Apple ---
000A27,Apple
0010FA,Apple
001451,Apple
0017F2,Apple
001B63,Apple
001EC2,Apple
0021E9,Apple
0023DF,Apple
0026BB,Apple
003EE1,Apple
0050E4,Apple
006171,Apple
008865,Apple
00C610,Apple
041552,Apple
04D3CF,Apple
04E536,Apple
04F13E,Apple
080007,Apple
086D41,Apple
0C3021,Apple
0C4DE9,Apple
0C771A,Apple
101C0C,Apple
109ADD,Apple
10DDB1,Apple
145A05,Apple
148FC6,Apple
1499E2,Apple
18AF61,Apple
18E7F4,Apple
18EE69,Apple
18F1D8,Apple
1C1AC0,Apple
1C9148,Apple
1CABA7,Apple
203CAE,Apple
207D74,Apple
209BCD,Apple
20AB37,Apple
24A074,Apple
24AB81,Apple
24F094,Apple
283737,Apple
286AB8,Apple
28CFDA,Apple
28E02C,Apple
28E14C,Apple
2C1F23,Apple
2CB43A,Apple
2CF0A2,Apple
3010E4,Apple
3035AD,Apple
30F7C5,Apple
34363B,Apple
34A395,Apple
34C059,Apple
380F4A,Apple
38484C,Apple
38B54D,Apple
38C986,Apple
3C0754,Apple
3C15C2,Apple
3C2EF9,Apple
3CD0F8,Apple
40331A,Apple
403CFC,Apple
404D7F,Apple
406C8F,Apple
409C28,Apple
40A6D9,Apple
40B395,Apple
40D32D,Apple
442A60,Apple
444C0C,Apple
44D884,Apple
44FB42,Apple
48437C,Apple
48605F,Apple
48A195,Apple
48BF6B,Apple
48D705,Apple
4C3275,Apple
4C57CA,Apple
4C74BF,Apple
4C7C5F,Apple
4C8D79,Apple
4CB199,Apple
503237,Apple
507A55,Apple
5082D5,Apple
50EAD6,Apple
542696,Apple
5433CB,Apple
544E90,Apple
54724F,Apple
54AE27,Apple
54E43A,Apple
54EAA8,Apple
581FAA,Apple
58404E,Apple
5855CA,Apple
587F57,Apple
58B035,Apple
5C1DD9,Apple
5C5F67,Apple
5C8D4E,Apple
5C95AE,Apple
5C969D,Apple
5C97F3,Apple
5CF5DA,Apple
5CF7E6,Apple
5CF938,Apple
600308,Apple
60334B,Apple
606944,Apple
608C4A,Apple
609217,Apple
609AC1,Apple
60C547,Apple
60F445,Apple
60F81D,Apple
60FACD,Apple
60FB42,Apple
60FEC5,Apple
6405E9,Apple
64200C,Apple
6476BA,Apple
649ABE,Apple
64A3CB,Apple
64B0A6,Apple
64B9E8,Apple
64E682,Apple
680927,Apple
685B35,Apple
68644B,Apple
68967B,Apple
689C70,Apple
68A86D,Apple
68AB1E,Apple
68AE20,Apple
68D93C,Apple
68DBCA,Apple
68FB7E,Apple
6C19C0,Apple
6C3E6D,Apple
6C4008,Apple
6C4D73,Apple
6C709F,Apple
6C72E7,Apple
6C8DC1,Apple
6C94F8,Apple
6C96CF,Apple
6CAB31,Apple
6CC26B,Apple
701124,Apple
7014A6,Apple
703EAC,Apple
70480F,Apple
705681,Apple
70700D,Apple
7073CB,Apple
7081EB,Apple
70A2B3,Apple
70CD60,Apple
70DEE2,Apple
70E72C,Apple
70ECE4,Apple
70F087,Apple
741BB2,Apple
748114,Apple
748D08,Apple
749EAF,Apple
74E1B6,Apple
74E2F5,Apple
7831C1,Apple
78321B,Apple
783A84,Apple
784F43,Apple
786C1C,Apple
787B8A,Apple
78886D,Apple
789F70,Apple
78A3E4,Apple
78CA39,Apple
78D75F,Apple
78FD94,Apple
7C0191,Apple
7C04D0,Apple
7C11BE,Apple
7C5049,Apple
7C6D62,Apple
7C6DF8,Apple
7CC3A1,Apple
7CC537,Apple
7CD1C3,Apple
7CF05F,Apple
7CFADF,Apple
80006E,Apple
804971,Apple
80929F,Apple
80B03D,Apple
